date,region,product,customer,quantity,unit_price,revenue,cost,profit
2023-01-01,West,Gadget Y,Customer 5,12,89.15,1069.83,601.13,468.7
2023-01-01,West,Gadget Y,Customer 25,24,95.54,2292.94,1346.57,946.37
2023-01-02,East,Widget A,Customer 13,1,26.62,26.62,15.21,11.41
2023-01-03,West,Gizmo Pro,Customer 11,1,329.89,329.89,169.89,160.0
2023-01-03,West,Gizmo Lite,Customer 13,24,157.44,3778.47,1915.58,1862.89
2023-01-03,South,Gizmo Lite,Customer 17,4,159.06,636.23,426.46,209.77
2023-01-03,West,Gizmo Lite,Customer 35,20,149.06,2981.27,1911.37,1069.9
2023-01-04,West,Widget A,Customer 28,12,23.3,279.64,149.5,130.14
2023-01-04,Central,Gadget Y,Customer 25,23,92.67,2131.34,1407.47,723.87
2023-01-04,North,Widget A,Customer 23,21,23.91,502.16,293.79,208.37
2023-01-05,East,Gizmo Lite,Customer 32,20,147.34,2946.81,1885.67,1061.14
2023-01-05,East,Widget A,Customer 11,24,23.17,556.11,384.6,171.51
2023-01-07,West,Gadget Y,Customer 6,22,94.09,2070.07,1301.49,768.58
2023-01-07,Central,Widget A,Customer 37,16,25.78,412.53,281.1,131.43
2023-01-07,North,Widget A,Customer 1,15,23.27,349.08,176.32,172.76
2023-01-07,Central,Widget B,Customer 36,6,41.52,249.14,171.66,77.48
2023-01-08,East,Gadget Y,Customer 12,14,100.2,1402.85,870.31,532.54
2023-01-08,South,Gadget X,Customer 33,3,125.72,377.17,238.87,138.3
2023-01-09,South,Gizmo Pro,Customer 14,15,288.94,4334.15,2853.05,1481.1
2023-01-09,South,Widget A,Customer 33,19,25.51,484.67,248.59,236.08
2023-01-09,East,Gizmo Pro,Customer 7,15,316.67,4750.03,3156.24,1593.79
2023-01-11,North,Gadget X,Customer 4,4,121.43,485.72,270.0,215.72
2023-01-11,Central,Widget B,Customer 25,7,43.93,307.51,168.0,139.51
2023-01-12,East,Gizmo Lite,Customer 34,18,159.71,2874.84,1852.39,1022.45
2023-01-12,South,Gadget Y,Customer 8,20,94.52,1890.46,1089.86,800.6
2023-01-12,Central,Widget A,Customer 25,11,24.43,268.75,148.74,120.01
2023-01-13,North,Gizmo Pro,Customer 38,2,325.28,650.56,401.16,249.4
2023-01-13,South,Gizmo Pro,Customer 36,2,282.72,565.44,357.06,208.38
2023-01-13,North,Gadget Y,Customer 15,19,100.2,1903.76,968.65,935.11
2023-01-13,North,Gizmo Pro,Customer 12,13,324.91,4223.78,2243.98,1979.8
2023-01-13,North,Gadget X,Customer 17,6,125.76,754.56,424.02,330.54
2023-01-15,South,Widget B,Customer 21,14,36.61,512.54,284.43,228.11
2023-01-16,North,Widget B,Customer 28,20,40.6,812.08,469.09,342.99
2023-01-16,West,Gadget X,Customer 15,16,121.77,1948.39,1110.89,837.5
2023-01-16,East,Gadget X,Customer 33,12,123.41,1480.93,828.77,652.16
2023-01-17,Central,Gizmo Lite,Customer 29,14,162.45,2274.24,1305.49,968.75
2023-01-17,Central,Widget A,Customer 12,16,26.86,429.84,277.87,151.97
2023-01-18,North,Gizmo Lite,Customer 26,16,156.06,2497.0,1501.89,995.11
2023-01-19,Central,Widget A,Customer 10,2,23.42,46.84,26.5,20.34
2023-01-19,North,Gizmo Lite,Customer 39,12,154.09,1849.06,1206.0,643.06
2023-01-19,North,Gizmo Lite,Customer 18,6,140.7,844.22,555.93,288.29
2023-01-19,South,Gadget Y,Customer 30,23,99.47,2287.92,1251.88,1036.04
2023-01-19,East,Widget A,Customer 4,2,26.6,53.21,26.68,26.53
2023-01-21,South,Gizmo Lite,Customer 2,4,159.66,638.62,401.86,236.76
2023-01-21,Central,Gizmo Pro,Customer 20,6,315.61,1893.63,1114.33,779.3
2023-01-22,North,Gizmo Lite,Customer 25,23,152.96,3518.01,2050.4,1467.61
2023-01-22,East,Gadget X,Customer 18,18,131.76,2371.74,1506.55,865.19
2023-01-24,North,Gadget Y,Customer 12,11,86.88,955.66,612.25,343.41
2023-01-24,West,Gizmo Pro,Customer 16,24,301.39,7233.35,4881.75,2351.6
2023-01-25,North,Widget A,Customer 4,7,23.77,166.36,98.16,68.2
2023-01-26,North,Gizmo Lite,Customer 40,21,153.94,3232.72,1998.92,1233.8
2023-01-26,East,Widget A,Customer 3,1,25.18,25.18,16.92,8.26
2023-01-26,Central,Gizmo Pro,Customer 21,16,285.15,4562.43,2685.29,1877.14
2023-01-27,West,Gadget X,Customer 39,17,121.66,2068.24,1393.16,675.08
